stand,latcoord,longcoord
9A,48.68859888888888,9.19218212962963
9,48.68847875,9.192190277777778
10,48.68861569444444,9.192931527777779
11,48.688752638888886,9.193641388888889
12,48.688883472222216,9.194329861111111
13,48.68904458333333,9.195180416666666
14,48.68917305555555,9.195852222222221
15,48.68929930555555,9.196512638888889
16,48.68943555555555,9.197200694444444
17,48.68959638888889,9.197810972222221
18,48.68976958333333,9.198404444444446
19,48.689947222222216,9.19897138888889
24,48.69049930555555,9.199791944444444
24A,48.69054027777777,9.19989
25,48.69064569444444,9.200497361111111
26A,48.69073986111111,9.200998333333333
26,48.69076527777777,9.201123472222221
27,48.69087986111111,9.201723888888889
28,48.69100611111111,9.202379444444443
28A,48.69102652777778,9.202494166666666
29,48.69117597222222,9.20327986111111
30,48.69144597222222,9.204356805555555
31,48.69163138888889,9.204953194444442
32,48.691749305555554,9.205578611111111
33,48.69187041666666,9.206207638888888
34,48.691982777777774,9.206804583333334
35,48.69209486111111,9.207382499999998
36,48.69220388888888,9.20795486111111
40,48.68716305555555,9.192656666666668
41,48.68728652777777,9.193309166666666
42,48.68740972222222,9.193962222222222
43,48.68753361111111,9.19461861111111
44,48.6877075,9.195542916666668
45,48.687832361111106,9.196202638888888
46,48.68795180555556,9.196835694444445
47,48.688071111111114,9.197467083333333
48,48.68824097222222,9.198166666666665
50,48.689011944444445,9.200275
51,48.689195694444436,9.200884444444444
52,48.68935305555555,9.201539305555555
53,48.68948222222222,9.202207916666666
54,48.68960736111111,9.202873333333333
55,48.689736249999996,9.20353847222222
56,48.68985458333333,9.204171944444443
60,48.69078972222222,9.205504351851852
61,48.69095680555555,9.206279722222222
62,48.6910725,9.206913749999998
63,48.69119458333333,9.207562361111112
64,48.691314999999996,9.208209027777777
71,48.69040916666667,9.206517916666666
71A,48.690441388888885,9.206691944444444
72,48.690528611111105,9.20715222222222
73,48.69065138888888,9.207798888888888
74,48.69077680555555,9.208443055555556
74A,48.69078222222222,9.208470833333333
75,48.69089944444444,9.209092222222221
GA,48.69162212962963,9.211219722222221
100,48.68313055555555,9.202173055555555
200,48.68313055555555,9.202173055555555
101,48.68331638888888,9.203152638888888
201,48.68331638888888,9.203152638888888
102,48.683471805555556,9.203964444444445
202,48.683471805555556,9.203964444444445
103,48.68361833333333,9.204746944444445
203,48.68361833333333,9.204746944444445
104,48.68377513888888,9.20556361111111
204,48.68377513888888,9.20556361111111
105,48.68385958333333,9.206446249999999
106,48.68403027777777,9.207347777777777
MIL,48.681959791666664,9.198441944444443
POL,48.68194444444444,9.194151388888889
