stand,latcoord,longcoord
7,52.130900277777776,7.689076666666667
8,52.131014722222226,7.689748333333333
9,52.13113902777778,7.6909398611111115
9A,52.13105833333333,7.690526944444445
9B,52.13122527777777,7.691355
10,52.13143388888889,7.692232777777778
11,52.13160277777778,7.693093055555556
12,52.13178583333333,7.693886111111111
13,52.131932222222225,7.694678888888889
14,52.132113333333336,7.695576388888889
18,52.13172055555555,7.687378611111112
19,52.13203763888889,7.688185416666667
19A,52.1319625,7.687851944444445
19B,52.132091388888895,7.688462361111111
20,52.132375833333334,7.690393333333334
21,52.132627916666664,7.6912561111111115
21A,52.13257041666667,7.690989861111111
21B,52.13269,7.691531805555556
22,52.132754722222224,7.692193888888889
24,52.133309583333336,7.694325833333334
24A,52.133238472222224,7.694006805555556
24B,52.13338319444445,7.694649583333334
25,52.13343444444445,7.6954247222222225
19C,52.132083333333334,7.687583333333333
19D,52.13213888888889,7.687916666666667
19E,52.132222222222225,7.6882222222222225
18A,52.13152777777778,7.687194444444445
18B,52.13158333333333,7.687527777777778
18C,52.13166666666667,7.687833333333334
18D,52.13172222222222,7.688138888888889
18E,52.13180555555556,7.688472222222223
101,52.13157416666667,7.682418055555556
102,52.131409444444444,7.6824425000000005
103,52.13124166666667,7.682438333333334
104,52.1310625,7.682440277777778
201,52.13155861111111,7.683269722222223
202,52.13131861111111,7.6833025
203,52.13107277777778,7.683323611111112
301,52.13125,7.685583333333334
302,52.13125,7.68625
303,52.13125,7.686944444444444
401,52.130833333333335,7.685444444444444
402,52.130833333333335,7.685944444444445
403,52.130833333333335,7.686527777777778
404,52.130833333333335,7.687111111111111
405,52.130805555555554,7.687611111111111
406,52.130805555555554,7.688083333333333
