stand,latcoord,longcoord
A1,49.94629638888888,7.268588333333334
A2,49.94649222222222,7.268091388888889
A3,49.94664944444444,7.267653055555556
A4,49.94704888888889,7.2693594444444445
A5,49.94723,7.268880277777778
A6,49.94741611111111,7.268392777777778
B1,49.947540277777776,7.2698175
B2,49.94773222222222,7.269338333333334
B3,49.94791027777777,7.2688425
B4,49.94833694444444,7.270624444444445
B5,49.94850694444444,7.270103333333333
D1,49.94896930555555,7.2707677777777775
D2,49.94913027777777,7.270935833333334
D3,49.94929222222222,7.2711073611111114
D4,49.949016111111106,7.270834444444445
E,49.94986166666666,7.271906666666666
F,49.95048166666667,7.272464722222222
G1,49.95209555555556,7.273838333333333
G2,49.952688611111114,7.274464166666666
G3,49.95335444444445,7.275110555555555
G4,49.954013611111115,7.275603055555555
G5,49.954715694444445,7.2767880555555555
APRN2,49.94218541666666,7.26355375
